Ano;Semestre;data semestre;Concelho;Pedidos de Ligação à Rede Executados (#);CodConcelho
2023;1;2023 Sem. 1;Mação;56.0;1413
2023;1;2023 Sem. 1;Esposende;469.0;0306
2023;1;2023 Sem. 1;Oliveira de Frades;155.0;1810
2023;1;2023 Sem. 1;Baião;177.0;1302
2023;1;2023 Sem. 1;Paredes de Coura;84.0;1605
2023;1;2023 Sem. 1;Lagoa;227.0;0806
2023;1;2023 Sem. 1;Odemira;277.0;0211
2023;1;2023 Sem. 1;Olhão;278.0;0810
2023;1;2023 Sem. 1;Vila do Conde;724.0;1316
2023;1;2023 Sem. 1;Sever do Vouga;123.0;0117
2023;1;2023 Sem. 1;Carrazeda de Ansiães;58.0;0403
2023;1;2023 Sem. 1;Mondim de Basto;106.0;1705
2023;1;2023 Sem. 1;Vidigueira;74.0;0214
2023;1;2023 Sem. 1;Valença;190.0;1608
2023;1;2023 Sem. 1;Penafiel;730.0;1311
2023;1;2023 Sem. 1;Bombarral;135.0;1005
2023;1;2023 Sem. 1;Anadia;216.0;0103
2023;1;2023 Sem. 1;Fornos de Algodres;63.0;0905
2023;1;2023 Sem. 1;Cabeceiras de Basto;157.0;0304
2023;1;2023 Sem. 1;Miranda do douro;90.0;0406
2023;1;2023 Sem. 1;Santarém;562.0;1416
2023;1;2023 Sem. 1;Portalegre;176.0;1214
2023;1;2023 Sem. 1;Lamego;215.0;1805
2023;1;2023 Sem. 1;Faro;449.0;0805
2023;1;2023 Sem. 1;Reguengos de Monsaraz;97.0;0711
2023;1;2023 Sem. 1;Mortágua;98.0;1808
2023;1;2023 Sem. 1;Manteigas;16.0;0908
2023;1;2023 Sem. 1;Tarouca;93.0;1820
2023;1;2023 Sem. 1;Barreiro;219.0;1504
2023;1;2023 Sem. 1;Ourique;58.0;0212
2023;1;2023 Sem. 1;Aljezur;87.0;0803
2023;1;2023 Sem. 1;Seia;147.0;0912
2023;1;2023 Sem. 1;Trofa;292.0;1318
2023;1;2023 Sem. 1;Monção;210.0;1604
2023;1;2023 Sem. 1;Tomar;354.0;1418
2023;1;2023 Sem. 1;Lagos;322.0;0807
2023;1;2023 Sem. 1;Sines;118.0;1513
2023;1;2023 Sem. 1;Estarreja;206.0;0108
2023;1;2023 Sem. 1;Batalha;179.0;1004
2023;1;2023 Sem. 1;Cinfães;150.0;1804
2023;1;2023 Sem. 1;Marco de Canaveses;558.0;1307
2023;1;2023 Sem. 1;Ourém;383.0;1421
2023;1;2023 Sem. 1;Monforte;22.0;1211
2023;1;2023 Sem. 1;Sardoal;33.0;1417
2023;1;2023 Sem. 1;Penamacor;69.0;0507
2023;1;2023 Sem. 1;Golegã;56.0;1412
2023;1;2023 Sem. 1;Almada;964.0;1503
2023;1;2023 Sem. 1;Oliveira de Azeméis;453.0;0113
2023;1;2023 Sem. 1;Tabuaço;55.0;1819
2023;1;2023 Sem. 1;Proença-a-Nova;119.0;0508
2023;1;2023 Sem. 1;Vila Nova de Poiares;98.0;0617
2023;1;2023 Sem. 1;Mangualde;173.0;1806
2023;1;2023 Sem. 1;Mogadouro;97.0;0408
2023;1;2023 Sem. 1;Fafe;534.0;0307
2023;2;2023 Sem. 2;Sobral de Monte Agraço;53.0;1112
2023;2;2023 Sem. 2;Murça;34.0;1707
2023;2;2023 Sem. 2;Peso da Régua;79.0;1708
2023;2;2023 Sem. 2;Condeixa-a-Nova;87.0;0604
2024;2;2024 Sem. 2;Cantanhede;244.0;0602
2024;2;2024 Sem. 2;Castelo de Paiva;101.0;0106
2024;2;2024 Sem. 2;Vila Franca de Xira;238.0;1114
2024;2;2024 Sem. 2;Alvaiázere;61.0;1002
2024;2;2024 Sem. 2;Évora;224.0;0705
2024;2;2024 Sem. 2;Fundão;258.0;0504
2024;2;2024 Sem. 2;Portalegre;126.0;1214
2024;2;2024 Sem. 2;Benavente;195.0;1405
2024;2;2024 Sem. 2;Pombal;464.0;1015
2024;2;2024 Sem. 2;Crato;23.0;1206
