Ano;Semestre;Concelho;Potência de Ligação (kW);Processos Concluídos (#);CodConcelho
2024;2;Cadaval;226.48;55.0;1104
2024;2;Vendas Novas;791.1;32.0;0712
2024;2;Peniche;275.62;46.0;1014
2024;2;Borba;332.82000000000005;16.0;0703
2024;2;Chamusca;201.71;20.0;1407
2024;2;Penalva do Castelo;96.92;27.0;1811
2024;2;Bombarral;403.38;57.0;1005
2024;2;Cabeceiras de Basto;588.4300000000001;39.0;0304
2024;2;Montemor-o-Novo;179.54999999999998;53.0;0706
2024;2;Ovar;1788.2699999999998;101.0;0115
2024;2;Nelas;105.82;46.0;1809
2024;2;Belmonte;44.42;17.0;0501
2024;2;Arronches;12.8;6.0;1202
2024;2;Odemira;649.63;64.0;0211
2024;2;Pedrógão Grande;34.94;13.0;1013
2024;2;Santa Comba Dão;83.45;38.0;1814
2024;2;Montemor-o-Velho;255.95;64.0;0610
2024;2;Viseu;1882.97;233.0;1823
2024;2;Penamacor;28.57;11.0;0507
2024;2;Vila Pouca de Aguiar;349.45;26.0;1713
2024;2;Lagos;736.42;77.0;0807
2024;2;Rio Maior;661.3;62.0;1414
2024;2;Figueira de Castelo Rodrigo;44.91;12.0;0904
2024;2;Fundão;1063.96;87.0;0504
2024;2;Portalegre;157.25;34.0;1214
2024;2;Oliveira do Hospital;121.16000000000003;45.0;0611
2024;2;Alcanena;1579.55;43.0;1402
2024;2;Lagoa;438.3999999999999;65.0;0806
2024;2;Vila Nova de Cerveira;622.5800000000002;27.0;1610
2024;2;Almada;633.72;203.0;1503
2024;2;Alijó;272.46;40.0;1701
2024;2;Vila Nova da Barquinha;82.83;22.0;1420
2024;2;Arouca;232.92999999999998;70.0;0104
2024;2;Vila Velha de Ródão;53.68000000000001;13.0;0511
2024;2;Lisboa;1315.75;211.0;1106
2024;2;São João da Madeira;840.2800000000002;17.0;0116
2024;2;Estremoz;538.76;28.0;0704
2024;2;Vidigueira;269.55;13.0;0214
2024;2;Barreiro;931.6500000000001;41.0;1504
2024;2;Fafe;1021.83;144.0;0307
2024;2;Chaves;551.41;89.0;1703
2024;2;Vila do Conde;1782.2;174.0;1316
2024;2;Valongo;775.9300000000001;89.0;1315
2024;2;Ribeira de Pena;18.17;13.0;1709
2024;2;Amarante;789.67;123.0;1301
2024;2;Torre de Moncorvo;70.53;16.0;0409
2024;2;Mourão;32.36;10.0;0708
2024;2;Murtosa;216.97;25.0;0112
2024;2;Idanha-a-Nova;277.21000000000004;29.0;0505
2024;2;Setúbal;1079.9099999999999;176.0;1512
2024;2;Estarreja;560.51;48.0;0108
2024;2;Loulé;1483.85;216.0;0808
2024;2;Lamego;386.57000000000005;64.0;1805
2024;2;Sernancelhe;61.44;23.0;1818
2024;2;Albergaria-a-Velha;155.2;45.0;0102
2024;2;Redondo;458.98;22.0;0710
2024;2;São Brás de Alportel;86.62;22.0;0812
2024;2;Carregal do Sal;64.6;28.0;1802
2024;2;Ponte de Sor;1741.1599999999999;34.0;1213
2024;2;Oliveira de Azeméis;5892.889999999999;145.0;0113
2024;2;Odivelas;529.85;96.0;1116
2024;2;Valpaços;146.38;72.0;1712
2024;2;Vila de Rei;12.96;7.0;0510
2024;2;Marinha Grande;814.1899999999999;102.0;1010
2024;2;Mondim de Basto;31.4;14.0;1705
2024;2;Vila Flor;280.95;27.0;0410
2024;2;Almodôvar;144.81;19.0;0202
2024;2;Arruda dos Vinhos;133.69;34.0;1102
2024;2;Penedono;46.14;9.0;1812
2024;2;Ferreira do Zêzere;298.67;42.0;1411
2024;2;Beja;1791.1499999999999;64.0;0205
2024;2;Penela;65.25;11.0;0614
2024;2;Murça;78.31;20.0;1707
2024;2;Alcochete;668.98;19.0;1502
2024;2;Lourinhã;259.65;68.0;1108
2024;2;Vila Nova de Famalicão;3436.98;264.0;0312
2024;2;São Pedro do Sul;542.73;55.0;1816
2024;2;Castro daire;372.04999999999995;39.0;1803
2024;2;Esposende;733.6600000000001;55.0;0306
2024;2;Castro Verde;69.89999999999999;17.0;0206
2024;2;Cascais;2155.44;286.0;1105
2024;2;Paredes de Coura;75.55;22.0;1605
2024;2;Almeida;97.76;19.0;0902
2024;2;Castelo de Vide;686.1500000000001;5.0;1205
2024;2;Marvão;6.32;4.0;1210
2024;2;Castanheira de Pêra;22.980000000000004;7.0;1007
2025;1;Mangualde;54.87;24.0;1806
2025;1;Estremoz;91.35;14.0;0704
2025;1;Penacova;32.71;16.0;0613
2025;1;Mealhada;52.95;23.0;0111
2025;1;Mafra;473.54;85.0;1109
2025;1;Nazaré;73.7;17.0;1011
2025;1;Santo Tirso;680.36;68.0;1314
2025;1;Vila Pouca de Aguiar;42.019999999999996;11.0;1713
2025;1;Montemor-o-Velho;112.64000000000001;27.0;0610
2025;1;Santa Marta de Penaguião;8.72;5.0;1711
2025;1;Valongo;530.29;46.0;1315
2025;1;Loulé;594.28;91.0;0808
2025;1;Lourinhã;125.18;38.0;1108
2025;1;São João da Madeira;481.35;13.0;0116
2025;1;Barcelos;2169.41;139.0;0302
2025;1;Rio Maior;291.13;37.0;1414
2025;1;Marinha Grande;386.3399999999999;49.0;1010
2025;1;Ferreira do Alentejo;277.19;10.0;0208
2025;1;Porto;540.93;77.0;1312
2025;1;Vale de Cambra;1069.23;21.0;0119
2021;2;Cantanhede;431.05;118.0;0602
2021;2;Cabeceiras de Basto;34.79;20.0;0304
2021;2;Guimarães;1331.24;552.0;0308
2021;2;Aljustrel;47.54;20.0;0201
2021;2;Grândola;69.74;34.0;1505
2021;2;Arganil;68.4;27.0;0601
2021;2;Góis;8.3;10.0;0606
2021;2;Valpaços;139.63;60.0;1712
2021;2;Ílhavo;253.27999999999997;153.0;0110
2021;2;Cartaxo;327.6;52.0;1406
2021;2;Gavião;11.15;20.0;1209
2021;2;Viseu;601.73;351.0;1823
2021;2;Sesimbra;338.41999999999996;266.0;1511
2021;2;Idanha-a-Nova;39.36;12.0;0505
2021;2;Cinfães;28.79;27.0;1804
2021;2;Odivelas;256.37;138.0;1116
2021;2;Arraiolos;52.769999999999996;34.0;0702
2021;2;Setúbal;892.88;359.0;1512
2021;2;Alcochete;73.3;43.0;1502
2021;2;Mortágua;1339.3999999999999;38.0;1808
2021;2;Lamego;194.02999999999997;33.0;1805
2021;2;Terras de Bouro;43.45;22.0;0310
2021;2;Moura;159.85000000000002;25.0;0210
2021;2;Paredes;1118.4600000000003;119.0;1310
2021;2;Batalha;1486.09;54.0;1004
2021;2;Carrazeda de Ansiães;45.59;21.0;0403
2021;2;Alenquer;503.62;118.0;1101
2021;2;Celorico de Basto;50.949999999999996;25.0;0305
2021;2;Castro Verde;65.19;48.0;0206
2021;2;Espinho;915.49;42.0;0107
2021;2;Lisboa;295.77;136.0;1106
2021;2;Sines;47.599999999999994;8.0;1513
2021;2;Santa Marta de Penaguião;224.78000000000003;10.0;1711
2021;2;Mesão Frio;6.38;3.0;1704
2021;2;Penacova;38.4;25.0;0613
2021;2;Marco de Canaveses;189.93;131.0;1307
2021;2;Vila Nova da Barquinha;36.47;33.0;1420
2021;2;Castro Marim;37.59;30.0;0804
2021;2;Vila Nova de Poiares;96.19999999999999;19.0;0617
2021;2;Braga;2719.8900000000003;547.0;0303
2021;2;Trofa;843.68;129.0;1318
2021;2;Figueira da Foz;398.63;144.0;0605
2021;2;Vila do Conde;1067.8700000000001;255.0;1316
2021;2;Lagos;383.44000000000005;79.0;0807
2021;2;Óbidos;953.8799999999999;53.0;1012
2021;2;Arronches;28.020000000000003;7.0;1202
2021;2;Freixo de Espada À Cinta;23.470000000000002;19.0;0404
2021;2;Arouca;71.41;30.0;0104
2021;2;Cuba;50.120000000000005;15.0;0207
2021;2;Ferreira do Zêzere;75.4;17.0;1411
2021;2;Loulé;783.59;184.0;0808
2021;2;Cadaval;57.489999999999995;47.0;1104
2021;2;Aguiar da Beira;22.05;10.0;0901
2021;2;Trancoso;64.55000000000001;21.0;0913
2021;2;Portel;70.82;18.0;0709
2021;2;Mogadouro;10.83;13.0;0408
2021;2;Fundão;192.15999999999997;58.0;0504
2021;2;Miranda do douro;50.1;14.0;0406
2021;2;Paredes de Coura;26.61;13.0;1605
2021;2;Miranda do Corvo;30.729999999999997;21.0;0609
2021;2;Oeiras;1200.23;177.0;1110
2021;2;Ponte de Sor;42.31;38.0;1213
2021;2;Avis;9.34;8.0;1203
2021;2;Borba;48.21;14.0;0703
2021;2;Alcobaça;995.49;147.0;1001
2021;2;Caminha;49.980000000000004;39.0;1602
2021;2;Macedo de Cavaleiros;24.59;22.0;0405
2021;2;Murça;67.92;23.0;1707
